ID,Product_Name,UPC_Code,Department_Name,Department_Code,Category,Display_Price,Price_Numeric,Age_Restricted,Age_Restricted_Boolean,Stock_Status,Search_Terms,Tax_Rate,Total Price After Tax
24100122615.0,SUNSHINE CHEEZ -IT 8CT,024100122615,Food & Grocery,24,Grocery,$1.99 ,1.99,No,False,In Stock,sunshine cheez it 8ct,0.0,1.99
24100191345.0,SUNSHINE CHEEZ IT 3OZ 6CT,024100191345,Food & Grocery,24,Grocery,$2.49 ,2.49,No,False,In Stock,sunshine cheez it 3oz 6ct,0.0,2.49
24100203628.0,SUNSHINE CHEEZ IT CHD/JACK 6CT PP.9,024100203628,Food & Grocery,24,Grocery,$2.49 ,2.49,No,False,In Stock,sunshine cheez it chd jack 6ct pp 9,0.0,2.49
24100315345.0,SUNSHINE CHEEZ IT WH/CHED 6CT PP.99,024100315345,Food & Grocery,24,Grocery,$2.49 ,2.49,No,False,In Stock,sunshine cheez it wh ched 6ct pp 99,0.0,2.49
24100577163.0,CHEEZ IT SNACK MIX BAKED 5OZ,024100577163,Food & Grocery,24,Grocery,$3.99 ,3.99,No,False,In Stock,cheez it snack mix baked 5oz,0.0,3.99
24100577309.0,CHEEZ IT DUOZ SHARP CHEDD/PARM 6CT,024100577309,Food & Grocery,24,Grocery,$3.99 ,3.99,No,False,In Stock,cheez it duoz sharp chedd parm 6ct,0.0,3.99
24100928415.0,CHEEZ IT DUOZ CHED JACK/BBY SW 6CT,024100928415,Food & Grocery,24,Grocery,$3.99 ,3.99,No,False,In Stock,cheez it duoz ched jack bby sw 6ct,0.0,3.99
24300014017.0,DEVIL DOG BAKERY,024300014017,Household Items,5,Household,$2.75 ,2.75,No,False,In Stock,devil dog bakery,0.0,2.75
24300016011.0,DRAKES DEVIL DOGS 6CT,024300016011,Household Items,5,Household,$2.75 ,2.75,No,False,In Stock,drakes devil dogs 6ct,0.0,2.75
24300016035.0,DRAKE RING 2.5Oz,024300016035,Household Items,5,Household,$2.75 ,2.75,No,False,In Stock,drake ring 2 5oz,0.0,2.75
24300016073.0,DRAKES FUNNY BONES 3.1Oz,024300016073,Household Items,5,Household,$2.75 ,2.75,No,False,In Stock,drakes funny bones 3 1oz,0.0,2.75
24300017049.0,DRAKES YODELS 4CT,024300017049,Household Items,5,Household,$2.99 ,2.99,No,False,In Stock,drakes yodels 4ct,0.0,2.99
24300865107.0,GLAZED DONUT STICKS,024300865107,Household Items,5,Household,$2.75 ,2.75,No,False,In Stock,glazed donut sticks,0.0,2.75
24600010016.0,MORTON,024600010016,Home & Kitchen,32,Home,$2.99 ,2.99,No,False,In Stock,morton,8.625,3.25
24600010030.0,MORTON IODIZED SALT,024600010030,Home & Kitchen,32,Home,$2.76 ,2.76,No,False,In Stock,morton iodized salt,8.625,3.0
24600010986.0,IODIZED SALT & PEPPER,024600010986,Home & Kitchen,32,Home,$1.99 ,1.99,No,False,In Stock,iodized salt pepper,0.0,1.99
25000000188.0,SIMPLY RASPBERRY 12Oz,025000000188,Electronics,10,Electronics,$2.53 ,2.53,No,False,In Stock,simply raspberry 12oz,8.625,2.75
25000000218.0,SIMPLY LIME 12Oz,025000000218,Electronics,10,Electronics,$2.53 ,2.53,No,False,In Stock,simply lime 12oz,8.625,2.75
25000000249.0,SIMPLY ORANGE NO PULP 12Oz,025000000249,Electronics,10,Electronics,$2.53 ,2.53,No,False,In Stock,simply orange no pulp 12oz,8.625,2.75
25000000294.0,SIMPLY APPLE 12Oz,025000000294,Electronics,10,Electronics,$2.53 ,2.53,No,False,In Stock,simply apple 12oz,8.625,2.75
25000000300.0,SIMPLY CRANBERY 12Oz,025000000300,Electronics,10,Electronics,$2.53 ,2.53,No,False,In Stock,simply cranbery 12oz,8.625,2.75
25000000324.0,SIMPLY ORANGE 12Oz,025000000324,Electronics,10,Electronics,$2.53 ,2.53,No,False,In Stock,simply orange 12oz,8.625,2.75
25000058868.0,MINUTE MAID PINK LEM 20Oz,025000058868,Convenience Items,27,General,$2.53 ,2.53,No,False,In Stock,minute maid pink lem 20oz,8.625,2.75
25000058868.0,2 / MINUTE MAID PINK LEM 20Oz,025000058868,Convenience Items,27,General,$4.50 ,4.5,No,False,In Stock,2 minute maid pink lem 20oz,8.625,4.89
25500200835.0,FLOGERS CLASSIC,025500200835,Home & Kitchen,32,Home,$5.99 ,5.99,No,False,In Stock,flogers classic,8.625,6.51
25700002406.0,SARAN WRAP CLING PLSTC WRAP 200FT,025700002406,Home & Kitchen,32,Home,$5.99 ,5.99,No,False,In Stock,saran wrap cling plstc wrap 200ft,8.625,6.51
25700003304.0,ZIPLOC,025700003304,Home & Kitchen,32,Home,$3.99 ,3.99,No,False,In Stock,ziploc,8.625,4.33
25700003892.0,ZIPLOC FREEZER BAGS GALLON 14-BAG,025700003892,Home & Kitchen,32,Home,$6.99 ,6.99,No,False,In Stock,ziploc freezer bags gallon 14 bag,8.625,7.59
25713919609.0,UPTIME ORIGINAL CITRUS 12Oz,025713919609,Beverages & Drinks,25,Drinks,$2.99 ,2.99,No,False,In Stock,uptime original citrus 12oz,8.625,3.25
25713919708.0,UPTIME ORIGINAL CITRUS 12Oz,025713919708,Beverages & Drinks,25,Drinks,$2.99 ,2.99,No,False,In Stock,uptime original citrus 12oz,8.625,3.25
